name,topic,policy_statement,stance_score,quote
Sue Aldwell,Housing,"Supports building more affordable and accessible housing across the island, including rental and ownership options.",2,"Investing in Affordable Housing, both for renting and buying is on everyone’s agenda. It is essential that we see spades in the ground, as we most certainly want to encourage our young people to stay on Island or come back and raise their families."
Sue Aldwell,Healthcare,"Supports increased funding, staffing, or reform of the healthcare system, including mental health services and primary care.",2,We have so many aspects of Health and Social Care that will have to deal with in the next Assembly: whether it is a root and branch review of Health Services; looking at an achievable and affordable universal entitlement of care; or dealing with our Supported Living and Ageing Well Strategy (SLAWS). Investing in the second build phase at the hospital to future proof our medical services remains to be finalised.
Sue Aldwell,Education,"Supports improving access, quality, or investment in education — including the structure of secondary and post-16 education.",2,"If we want business to invest in our Island, we must skill and upskill our workforce to build our economy for Guernsey to prosper. We need to demonstrate that we not only value but are willing to invest in education."
Sue Aldwell,Taxation & Public Finance,"Supports reforms to the tax system — including introducing new taxes (e.g. GST), changing income or company tax rates, or broadening the tax base to fund public services.",1,"The tax reforms are already approved and need to be implemented early in the term. I am a supporter of a tax package similar to that put forward in 2023, because a large proportion of islanders would be better off."
Sue Aldwell,Economy & Business,"Supports initiatives to stimulate the economy — including small business support, diversification, investment incentives, and economic growth policies.",1,"If we want business to invest in our Island, we must skill and upskill our workforce to build our economy for Guernsey to prosper."
Sue Aldwell,Employment & Skills,"Supports improving workforce readiness through skills training, job creation, or workforce support programmes.",2,"If we want business to invest in our Island, we must skill and upskill our workforce to build our economy for Guernsey to prosper."
Sue Aldwell,Transport & Connectivity,"Supports improving transport links — including air/sea travel affordability, reliability, and access.",1,"We will, this term, need to continue with plans to invest in several projects including: Housing, Les Ozouets Post 16 Campus, Hospital Second Phase, St Sampsons Harbour; in addition, the future of our Dairy, our Air & Sea links, Ports, Energy needs and investment in our public services - the list goes on."
Sue Aldwell,Social Care & Community Wellbeing,"Supports investment in services that protect vulnerable people — including care for the elderly, social housing, community outreach, and wellbeing programmes.",2,We have so many aspects of Health and Social Care that will have to deal with in the next Assembly: whether it is a root and branch review of Health Services; looking at an achievable and affordable universal entitlement of care; or dealing with our Supported Living and Ageing Well Strategy (SLAWS).
Sue Aldwell,Governance & Political Reform,"Supports reforms to how government operates — including transparency, efficiency, States reform, and public engagement.",1,Making sure we can balance the books is essential. The tax reforms are already approved and need to be implemented early in the term.
Sue Aldwell,Environment & Sustainability,"Supports environmental protection and climate action — including conservation, energy transition, or sustainable development practices.",0,
Art Allen,Housing,"Supports building more affordable and accessible housing across the island, including rental and ownership options.",-1,We have also seen the reluctance of many to fully accord with proposals to introduce conditions for rental property.
Art Allen,Healthcare,"Supports increased funding, staffing, or reform of the healthcare system, including mental health services and primary care.",0,No specific stance on healthcare was mentioned in the text.
Art Allen,Education,"Supports improving access, quality, or investment in education — including the structure of secondary and post-16 education.",1,"Ever since our Politicians took a sledgehammer to education by axing the 11 plus in favour of a 2 tier system of Education, we have all witnessed continuing frustrating banter which may not fulfil the need for children to develop their capabilities and give them equitable opportunities in life until I/we speak up for common sense and equity."
Art Allen,Taxation & Public Finance,"Supports reforms to the tax system — including introducing new taxes (e.g. GST), changing income or company tax rates, or broadening the tax base to fund public services.",-1,(Standing against any form of Goods and Services Tax G.S.T. will also be my focus). I acknowledge that additional tax revenues are required to support this approach.
Art Allen,Economy & Business,"Supports initiatives to stimulate the economy — including small business support, diversification, investment incentives, and economic growth policies.",1,Guernsey and the Bailiwick Islands must urgently diversify from the current narrow bands of income. We have so much talent based here and have not so far opened any doors to accommodate or encourage growth in any exciting new areas.
Art Allen,Employment & Skills,"Supports improving workforce readiness through skills training, job creation, or workforce support programmes.",0,No specific stance on Employment & Skills was mentioned in the text.
Art Allen,Transport & Connectivity,"Supports improving transport links — including air/sea travel affordability, reliability, and access.",1,"We must seriously consider a vote for “EMAS” (Engineered Material Arresting System), this is a brilliant solution for small airports such as ours (Air landing safety that will accommodate additional aircraft types to be able to land and take off safely from Guernsey Airport)."
Art Allen,Social Care & Community Wellbeing,"Supports investment in services that protect vulnerable people — including care for the elderly, social housing, community outreach, and wellbeing programmes.",1,Currently I care for my disabled wife and work part time for Clintons in the High Street.
Art Allen,Governance & Political Reform,"Supports reforms to how government operates — including transparency, efficiency, States reform, and public engagement.",1,"I stand again in this election as a proven people's person who is approachable, ready and willing to strive for common sense politics and unity amongst elected Deputies with the aim of joining the next assembly to move forward with a sense of urgency.”"
Art Allen,Environment & Sustainability,"Supports environmental protection and climate action — including conservation, energy transition, or sustainable development practices.",0,No specific stance on Environment & Sustainability was mentioned in the text.
Heidi Almonte ,Housing,"Supports building more affordable and accessible housing across the island, including rental and ownership options.",2,"We need to sort the crisis. We need to build on the land banks held by the States and developers, inc. derelict hotels and the regeneration of The Bridge."
